#Device;HMC8015
#Device Name;COFFEE
#Format;LOG
#Date;2029-09-15
#Version;01.400-02.430-03.730
#Serial No.;033820106
#Mode;Unlimited
#Logging Interval[s];1.000
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;12:52:51
#Stop Time;13:54:06
#Actual Count;3676        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
234.69;63.12E-03;6.092;50.031;300;200E-03;14.814;13.503;0.411;3.05;12:53:32.000
234.76;80.26E-03;8.238;50.037;300;200E-03;18.842;16.946;0.437;3.04;12:53:33.000
234.76;77.43E-03;7.866;50.033;300;200E-03;18.177;16.387;0.433;3.02;12:53:34.000
234.70;75.64E-03;7.537;50.035;300;200E-03;17.753;16.073;0.425;3.03;12:53:35.000
234.74;77.24E-03;7.910;50.032;300;200E-03;18.131;16.315;0.436;3.04;12:53:36.000
234.76;90.25E-03;9.813;50.036;300;200E-03;21.188;18.779;0.463;3.08;12:53:37.000
234.73;77.80E-03;8.004;50.033;300;200E-03;18.263;16.415;0.438;3.11;12:53:38.000
234.75;67.87E-03;6.778;50.036;300;200E-03;15.933;14.420;0.425;3.11;12:53:39.000
234.82;85.86E-03;8.935;50.030;300;200E-03;20.163;18.075;0.443;3.13;12:53:40.000
234.81;67.15E-03;6.750;50.033;300;200E-03;15.766;14.249;0.428;3.12;12:53:41.000
234.83;67.35E-03;6.773;50.040;300;200E-03;15.815;14.291;0.428;3.15;12:53:42.000
234.83;88.68E-03;9.625;50.038;300;200E-03;20.825;18.467;0.462;3.15;12:53:43.000
234.75;68.06E-03;6.871;50.040;300;200E-03;15.977;14.424;0.430;3.14;12:53:44.000
234.85;67.27E-03;6.756;50.038;300;200E-03;15.798;14.281;0.428;3.15;12:53:45.000
234.80;79.90E-03;8.495;50.041;300;200E-03;18.761;16.728;0.453;3.16;12:53:46.000
234.85;64.51E-03;6.400;50.042;300;200E-03;15.151;13.733;0.422;3.14;12:53:47.000
234.84;67.22E-03;6.724;50.045;300;200E-03;15.785;14.281;0.426;3.16;12:53:48.000
234.82;88.78E-03;9.790;50.045;300;200E-03;20.847;18.406;0.470;3.14;12:53:49.000
234.86;66.13E-03;6.726;50.044;300;200E-03;15.532;14.001;0.433;3.15;12:53:50.000
234.87;67.22E-03;6.742;50.039;300;200E-03;15.788;14.276;0.427;3.14;12:53:51.000
234.87;65.02E-03;6.630;50.045;300;200E-03;15.270;13.756;0.434;3.15;12:53:52.000
234.78;97.71E-03;10.954;50.043;300;200E-03;22.941;20.157;0.477;3.13;12:53:53.000
234.82;71.20E-03;7.300;50.043;300;200E-03;16.720;15.043;0.437;3.14;12:53:54.000
234.85;71.22E-03;7.288;50.037;300;200E-03;16.726;15.054;0.436;3.13;12:53:55.000
234.89;71.45E-03;7.353;50.036;300;200E-03;16.784;15.088;0.438;3.14;12:53:56.000
234.81;69.92E-03;7.088;50.039;300;200E-03;16.418;14.809;0.432;3.13;12:53:57.000
234.84;67.30E-03;6.761;50.036;300;200E-03;15.804;14.285;0.428;3.20;12:53:58.000
234.81;79.19E-03;8.162;50.051;300;200E-03;18.594;16.707;0.439;3.09;12:53:59.000
234.79;63.52E-03;6.271;50.040;300;200E-03;14.915;13.532;0.420;3.15;12:54:00.000
234.70;85.45E-03;9.017;50.042;300;200E-03;20.056;17.915;0.450;3.15;12:54:01.000
234.73;89.00E-03;9.588;50.039;300;200E-03;20.891;18.561;0.459;3.13;12:54:02.000
234.85;87.04E-03;9.288;50.043;300;200E-03;20.441;18.209;0.454;3.04;12:54:03.000
234.89;67.35E-03;6.774;50.034;300;200E-03;15.820;14.296;0.428;3.09;12:54:04.000
234.83;66.84E-03;6.740;50.035;300;200E-03;15.696;14.176;0.429;3.10;12:54:05.000
234.84;66.93E-03;6.724;50.036;300;200E-03;15.719;14.208;0.428;3.11;12:54:06.000
234.88;72.40E-03;7.350;50.029;300;200E-03;17.007;15.336;0.432;3.12;12:54:07.000
234.93;67.40E-03;6.755;50.029;300;200E-03;15.833;14.320;0.427;3.12;12:54:08.000
234.95;68.35E-03;6.878;50.023;300;200E-03;16.059;14.512;0.428;3.13;12:54:09.000
234.93;66.67E-03;6.735;50.035;300;200E-03;15.663;14.141;0.430;3.15;12:54:10.000
234.87;66.01E-03;6.717;50.025;300;200E-03;15.504;13.974;0.433;3.08;12:54:11.000
234.73;74.74E-03;7.660;50.026;300;200E-03;17.543;15.782;0.437;3.13;12:54:12.000
234.84;75.64E-03;7.705;50.027;300;200E-03;17.765;16.007;0.434;3.14;12:54:13.000
234.85;72.73E-03;7.352;50.024;300;200E-03;17.082;15.419;0.430;3.16;12:54:14.000
234.81;68.78E-03;6.850;50.026;300;200E-03;16.150;14.625;0.424;3.17;12:54:15.000
234.81;67.23E-03;6.748;50.025;300;200E-03;15.787;14.272;0.427;3.13;12:54:16.000
234.70;73.95E-03;7.496;50.021;300;200E-03;17.356;15.653;0.432;3.16;12:54:17.000
234.80;67.52E-03;6.769;50.031;300;200E-03;15.853;14.335;0.427;3.17;12:54:18.000
234.86;67.28E-03;6.704;50.032;300;200E-03;15.802;14.310;0.424;3.15;12:54:19.000
234.81;67.24E-03;6.735;50.028;300;200E-03;15.789;14.280;0.427;3.14;12:54:20.000
234.77;67.13E-03;6.681;50.033;300;200E-03;15.760;14.273;0.424;3.11;12:54:21.000
234.77;66.98E-03;6.700;50.037;300;200E-03;15.726;14.227;0.426;3.18;12:54:22.000
234.76;69.56E-03;6.984;50.040;300;200E-03;16.329;14.760;0.428;3.14;12:54:23.000
234.89;72.75E-03;7.478;50.028;300;200E-03;17.088;15.365;0.438;3.15;12:54:24.000
234.88;87.92E-03;9.411;50.037;300;200E-03;20.652;18.383;0.456;3.19;12:54:25.000
234.82;67.01E-03;6.718;50.033;300;200E-03;15.734;14.228;0.427;3.17;12:54:26.000
234.82;61.36E-03;6.089;50.031;300;200E-03;14.410;13.060;0.423;3.18;12:54:27.000
234.84;63.66E-03;6.276;50.030;300;200E-03;14.950;13.569;0.420;3.18;12:54:28.000
234.82;76.51E-03;7.774;50.033;300;200E-03;17.965;16.196;0.433;3.17;12:54:29.000
234.83;67.14E-03;6.710;50.036;300;200E-03;15.768;14.269;0.426;3.20;12:54:30.000
234.76;67.04E-03;6.741;50.039;300;200E-03;15.738;14.221;0.428;3.27;12:54:31.000
234.78;66.90E-03;6.717;50.036;300;200E-03;15.706;14.197;0.428;3.18;12:54:32.000
234.88;67.39E-03;6.724;50.039;300;200E-03;15.829;14.330;0.425;3.22;12:54:33.000
234.75;67.76E-03;6.754;50.037;300;200E-03;15.907;14.403;0.425;3.20;12:54:34.000
234.83;67.11E-03;6.697;50.046;300;200E-03;15.760;14.266;0.425;3.27;12:54:35.000
234.79;67.98E-03;6.793;50.036;300;200E-03;15.962;14.444;0.426;3.16;12:54:36.000
234.78;92.35E-03;9.876;50.040;300;200E-03;21.683;19.303;0.455;3.21;12:54:37.000
234.81;67.72E-03;6.758;50.040;300;200E-03;15.900;14.392;0.425;3.19;12:54:38.000
234.83;66.78E-03;6.714;50.040;300;200E-03;15.682;14.172;0.428;3.20;12:54:39.000
234.86;67.55E-03;6.734;50.039;300;200E-03;15.864;14.364;0.424;3.18;12:54:40.000
234.71;67.86E-03;6.776;50.044;300;200E-03;15.927;14.414;0.425;3.23;12:54:41.000
234.84;66.11E-03;6.534;50.042;300;200E-03;15.525;14.083;0.421;3.20;12:54:42.000
234.87;80.01E-03;8.260;50.038;300;200E-03;18.793;16.880;0.440;3.21;12:54:43.000
234.88;67.35E-03;6.759;50.040;300;200E-03;15.820;14.303;0.427;3.17;12:54:44.000
234.81;67.29E-03;6.744;50.043;300;200E-03;15.800;14.288;0.427;3.18;12:54:45.000
234.85;68.15E-03;6.797;50.038;300;200E-03;16.006;14.491;0.425;3.19;12:54:46.000
234.91;67.81E-03;6.765;50.038;300;200E-03;15.929;14.421;0.425;3.15;12:54:47.000
234.87;67.90E-03;6.805;50.039;300;200E-03;15.949;14.424;0.427;3.18;12:54:48.000
234.82;68.30E-03;6.844;50.044;300;200E-03;16.038;14.504;0.427;3.17;12:54:49.000
235.06;66.78E-03;6.720;50.043;300;200E-03;15.698;14.187;0.428;3.15;12:54:50.000
234.95;67.20E-03;6.735;50.043;300;200E-03;15.788;14.280;0.427;3.16;12:54:51.000
235.01;68.42E-03;6.849;50.048;300;200E-03;16.080;14.549;0.426;3.10;12:54:52.000
234.98;66.71E-03;6.649;50.039;300;200E-03;15.676;14.196;0.424;3.19;12:54:53.000
234.86;67.14E-03;6.734;50.046;300;200E-03;15.768;14.258;0.427;3.16;12:54:54.000
234.95;67.33E-03;6.803;50.042;300;200E-03;15.819;14.281;0.430;3.25;12:54:55.000
234.95;75.94E-03;7.776;50.043;300;200E-03;17.841;16.057;0.436;3.15;12:54:56.000
234.92;67.21E-03;6.737;50.038;300;200E-03;15.790;14.280;0.427;3.14;12:54:57.000
234.89;62.00E-03;6.110;50.039;300;200E-03;14.564;13.220;0.420;3.12;12:54:58.000
234.74;63.09E-03;6.212;50.035;300;200E-03;14.810;13.445;0.419;3.15;12:54:59.000
234.75;67.96E-03;6.746;50.040;300;200E-03;15.953;14.457;0.423;3.03;12:55:00.000
234.72;67.94E-03;6.819;50.027;300;200E-03;15.947;14.416;0.428;3.15;12:55:01.000
234.87;66.97E-03;6.754;50.035;300;200E-03;15.729;14.205;0.429;3.15;12:55:02.000
234.83;67.38E-03;6.747;50.033;300;200E-03;15.823;14.313;0.426;3.17;12:55:03.000
234.80;78.32E-03;8.040;50.036;300;200E-03;18.389;16.538;0.437;3.15;12:55:04.000
234.74;67.22E-03;6.710;50.034;300;200E-03;15.779;14.281;0.425;3.17;12:55:05.000
234.73;67.42E-03;6.751;50.034;300;200E-03;15.826;14.314;0.427;3.16;12:55:06.000
234.74;67.28E-03;6.736;50.031;300;200E-03;15.795;14.286;0.427;3.17;12:55:07.000
234.72;66.89E-03;6.684;50.033;300;200E-03;15.700;14.206;0.426;3.16;12:55:08.000
234.74;67.93E-03;6.848;50.028;300;200E-03;15.946;14.400;0.429;3.17;12:55:09.000
234.80;68.22E-03;6.819;50.027;300;200E-03;16.019;14.495;0.426;3.15;12:55:10.000
234.71;91.24E-03;9.913;50.025;300;200E-03;21.414;18.982;0.463;3.17;12:55:11.000
234.75;67.10E-03;6.719;50.033;300;200E-03;15.752;14.247;0.427;3.15;12:55:12.000
234.80;65.86E-03;6.538;50.031;300;200E-03;15.463;14.013;0.423;3.12;12:55:13.000
234.70;66.18E-03;6.585;50.029;300;200E-03;15.532;14.067;0.424;3.18;12:55:14.000
234.85;67.32E-03;6.724;50.034;300;200E-03;15.811;14.310;0.425;3.13;12:55:15.000
234.85;68.31E-03;6.819;50.029;300;200E-03;16.041;14.520;0.425;3.14;12:55:16.000
234.82;68.09E-03;6.857;50.031;300;200E-03;15.988;14.443;0.429;3.15;12:55:17.000
234.89;68.44E-03;6.831;50.036;300;200E-03;16.075;14.551;0.425;3.11;12:55:18.000
234.86;67.91E-03;6.793;50.033;300;200E-03;15.949;14.430;0.426;3.11;12:55:19.000
234.79;67.83E-03;6.833;50.035;300;200E-03;15.927;14.386;0.429;3.10;12:55:20.000
234.78;70.17E-03;7.179;50.034;300;200E-03;16.473;14.827;0.436;3.12;12:55:21.000
234.85;71.06E-03;7.273;50.032;300;200E-03;16.689;15.021;0.436;3.14;12:55:22.000
234.83;70.84E-03;7.264;50.024;300;200E-03;16.636;14.967;0.437;3.13;12:55:23.000
234.87;70.87E-03;7.209;50.024;300;200E-03;16.646;15.004;0.433;3.15;12:55:24.000
234.86;71.04E-03;7.332;50.025;300;200E-03;16.683;14.986;0.440;3.15;12:55:25.000
234.90;67.26E-03;6.754;50.027;300;200E-03;15.799;14.282;0.427;3.13;12:55:26.000
234.76;66.43E-03;6.661;50.023;300;200E-03;15.596;14.102;0.427;3.14;12:55:27.000
234.81;66.27E-03;6.640;50.023;300;200E-03;15.561;14.073;0.427;3.14;12:55:28.000
235.00;68.00E-03;6.872;50.016;300;200E-03;15.981;14.427;0.430;3.18;12:55:29.000
234.94;67.40E-03;6.741;50.020;300;200E-03;15.835;14.328;0.426;3.17;12:55:30.000
234.81;68.40E-03;6.883;50.011;300;200E-03;16.060;14.510;0.429;3.16;12:55:31.000
234.81;67.30E-03;6.740;50.017;300;200E-03;15.804;14.294;0.426;3.19;12:55:32.000
234.79;68.00E-03;6.910;50.019;300;200E-03;15.965;14.392;0.433;3.15;12:55:33.000
234.72;67.05E-03;6.808;50.024;300;200E-03;15.739;14.190;0.433;3.14;12:55:34.000
234.72;67.44E-03;6.733;50.020;300;200E-03;15.830;14.327;0.425;3.17;12:55:35.000
234.66;67.51E-03;6.734;50.028;300;200E-03;15.841;14.338;0.425;3.16;12:55:36.000
234.65;68.33E-03;6.813;50.020;300;200E-03;16.033;14.513;0.425;3.18;12:55:37.000
234.64;67.63E-03;6.781;50.021;300;200E-03;15.868;14.347;0.427;3.16;12:55:38.000
234.71;68.24E-03;6.801;50.019;300;200E-03;16.017;14.501;0.425;3.18;12:55:39.000
234.74;67.08E-03;6.766;50.021;300;200E-03;15.747;14.219;0.430;3.18;12:55:40.000
234.63;67.16E-03;6.699;50.019;300;200E-03;15.757;14.262;0.425;3.20;12:55:41.000
234.58;65.55E-03;6.530;50.020;300;200E-03;15.377;13.922;0.425;3.21;12:55:42.000
234.58;64.01E-03;6.277;50.021;300;200E-03;15.015;13.640;0.418;3.22;12:55:43.000
234.68;68.63E-03;6.899;50.017;300;200E-03;16.106;14.553;0.428;3.17;12:55:44.000
234.62;67.69E-03;6.820;50.020;300;200E-03;15.881;14.341;0.429;3.19;12:55:45.000
234.64;68.09E-03;6.797;50.019;300;200E-03;15.976;14.458;0.425;3.18;12:55:46.000
234.77;77.13E-03;6.591;50.557;300;200E-03;18.108;16.866;0.364;4.12;12:55:47.000
234.88;70.29E-03;6.995;49.494;300;200E-03;16.511;14.956;0.424;3.70;12:55:48.000
234.67;67.51E-03;6.760;50.024;300;200E-03;15.842;14.328;0.427;3.24;12:55:49.000
234.66;67.13E-03;6.761;50.025;300;200E-03;15.753;14.229;0.429;3.22;12:55:50.000
234.77;68.15E-03;6.830;50.025;300;200E-03;15.999;14.468;0.427;3.23;12:55:51.000
234.75;68.27E-03;6.854;50.020;300;200E-03;16.027;14.487;0.428;3.24;12:55:52.000
234.67;67.26E-03;6.766;50.018;300;200E-03;15.784;14.260;0.429;3.22;12:55:53.000
234.71;67.72E-03;6.810;50.064;300;200E-03;15.895;14.362;0.428;3.20;12:55:54.000
234.76;68.13E-03;6.864;50.026;300;200E-03;15.994;14.447;0.429;3.20;12:55:55.000
234.62;63.95E-03;6.303;50.034;300;200E-03;15.005;13.617;0.420;3.22;12:55:56.000
234.75;63.64E-03;6.318;50.028;300;200E-03;14.939;13.537;0.423;3.21;12:55:57.000
234.69;72.20E-03;6.631;49.884;300;200E-03;16.945;15.594;0.391;3.21;12:55:58.000
234.68;66.84E-03;6.692;50.028;300;200E-03;15.686;14.186;0.427;3.24;12:55:59.000
234.76;67.09E-03;6.705;50.024;300;200E-03;15.750;14.252;0.426;3.21;12:56:00.000
234.79;68.67E-03;6.873;50.028;300;200E-03;16.123;14.585;0.426;3.19;12:56:01.000
234.79;67.94E-03;6.803;50.025;300;200E-03;15.952;14.429;0.426;3.22;12:56:02.000
234.84;67.20E-03;6.783;50.028;300;200E-03;15.780;14.248;0.430;3.21;12:56:03.000
234.83;71.48E-03;7.274;50.030;300;200E-03;16.785;15.127;0.433;3.21;12:56:04.000
234.78;72.10E-03;7.350;50.022;300;200E-03;16.928;15.250;0.434;3.19;12:56:05.000
234.77;71.44E-03;7.262;50.040;300;200E-03;16.772;15.118;0.433;3.18;12:56:06.000
234.62;78.54E-03;7.551;50.610;300;200E-03;18.426;16.807;0.410;3.19;12:56:07.000
234.76;71.46E-03;7.255;50.015;300;200E-03;16.777;15.127;0.432;3.20;12:56:08.000
234.89;62.38E-03;6.108;49.988;300;200E-03;14.652;13.318;0.417;3.21;12:56:09.000
234.98;75.29E-03;6.246;50.496;300;200E-03;17.692;16.553;0.353;4.48;12:56:10.000
234.83;68.70E-03;6.866;50.002;300;200E-03;16.132;14.598;0.426;3.21;12:56:11.000
234.82;67.93E-03;6.868;50.010;300;200E-03;15.951;14.397;0.431;3.18;12:56:12.000
234.82;67.73E-03;6.789;50.013;300;200E-03;15.904;14.382;0.427;3.23;12:56:13.000
234.86;67.73E-03;6.860;49.974;300;200E-03;15.908;14.353;0.431;3.21;12:56:14.000
234.81;68.03E-03;6.805;50.005;300;200E-03;15.974;14.452;0.426;3.24;12:56:15.000
234.80;67.29E-03;6.715;50.001;300;200E-03;15.800;14.301;0.425;3.20;12:56:16.000
234.77;67.74E-03;6.774;50.021;300;200E-03;15.905;14.390;0.426;3.25;12:56:17.000
234.85;67.70E-03;6.799;50.025;300;200E-03;15.900;14.373;0.428;3.22;12:56:18.000
234.84;67.81E-03;6.793;50.020;300;200E-03;15.924;14.402;0.427;3.24;12:56:19.000
234.73;67.70E-03;6.793;50.025;300;200E-03;15.892;14.367;0.427;3.23;12:56:20.000
234.77;68.54E-03;6.883;50.025;300;200E-03;16.091;14.545;0.428;3.20;12:56:21.000
234.76;68.38E-03;6.867;50.023;300;200E-03;16.053;14.510;0.428;3.20;12:56:22.000
234.80;63.22E-03;6.226;50.024;300;200E-03;14.845;13.476;0.419;3.19;12:56:23.000
234.86;67.83E-03;6.782;50.027;300;200E-03;15.930;14.414;0.426;3.18;12:56:24.000
234.90;70.19E-03;7.146;50.028;300;200E-03;16.489;14.860;0.433;3.19;12:56:25.000
234.79;70.62E-03;7.136;50.026;300;200E-03;16.580;14.966;0.430;3.18;12:56:26.000
234.80;67.65E-03;6.804;50.025;300;200E-03;15.884;14.352;0.428;3.19;12:56:27.000
234.79;67.65E-03;6.806;50.030;300;200E-03;15.884;14.352;0.428;3.20;12:56:28.000
234.78;68.05E-03;6.858;50.025;300;200E-03;15.978;14.431;0.429;3.20;12:56:29.000
234.83;68.62E-03;6.789;50.024;300;200E-03;16.115;14.615;0.421;3.17;12:56:30.000
234.80;68.94E-03;6.749;50.030;300;200E-03;16.186;14.712;0.417;3.14;12:56:31.000
234.90;68.06E-03;6.766;50.035;300;200E-03;15.988;14.486;0.423;3.10;12:56:32.000
234.89;69.50E-03;6.845;50.035;300;200E-03;16.325;14.821;0.419;3.10;12:56:33.000
234.80;69.97E-03;6.900;50.035;300;200E-03;16.429;14.910;0.420;3.11;12:56:34.000
234.85;69.43E-03;6.873;50.034;300;200E-03;16.305;14.786;0.422;3.11;12:56:35.000
234.92;70.35E-03;6.870;50.040;300;200E-03;16.528;15.032;0.416;3.14;12:56:36.000
234.87;68.57E-03;6.789;50.037;300;200E-03;16.104;14.603;0.422;3.14;12:56:37.000
234.95;64.65E-03;6.364;50.044;300;200E-03;15.190;13.792;0.419;3.12;12:56:38.000
234.95;68.33E-03;6.832;50.037;300;200E-03;16.053;14.527;0.426;3.14;12:56:39.000
235.04;67.71E-03;6.756;50.039;300;200E-03;15.915;14.410;0.425;3.11;12:56:40.000
234.88;68.91E-03;6.873;50.034;300;200E-03;16.185;14.653;0.425;3.16;12:56:41.000
234.97;67.83E-03;6.798;50.040;300;200E-03;15.939;14.417;0.426;3.13;12:56:42.000
234.84;68.03E-03;6.755;50.037;300;200E-03;15.976;14.477;0.423;3.20;12:56:43.000
234.93;68.42E-03;6.859;50.040;300;200E-03;16.074;14.538;0.427;3.20;12:56:44.000
234.94;68.45E-03;6.809;50.038;300;200E-03;16.081;14.569;0.423;3.18;12:56:45.000
234.95;68.12E-03;6.811;50.041;300;200E-03;16.004;14.483;0.426;3.18;12:56:46.000
234.81;68.43E-03;6.839;50.041;300;200E-03;16.067;14.539;0.426;3.22;12:56:47.000
234.97;67.92E-03;6.789;50.043;300;200E-03;15.959;14.443;0.425;3.23;12:56:48.000
234.57;67.96E-03;6.795;50.036;300;200E-03;15.941;14.420;0.426;3.21;12:56:49.000
234.58;67.91E-03;6.740;50.043;300;200E-03;15.931;14.435;0.423;3.20;12:56:50.000
234.74;67.76E-03;6.766;50.041;300;200E-03;15.905;14.394;0.425;3.21;12:56:51.000
234.70;65.59E-03;6.405;50.041;300;200E-03;15.394;13.998;0.416;3.18;12:56:52.000
234.79;68.08E-03;6.741;50.033;300;200E-03;15.985;14.494;0.422;3.22;12:56:53.000
234.80;67.57E-03;6.754;50.041;300;200E-03;15.864;14.355;0.426;3.21;12:56:54.000
234.68;69.27E-03;6.908;50.040;300;200E-03;16.257;14.716;0.425;3.21;12:56:55.000
234.80;68.52E-03;6.845;50.046;300;200E-03;16.087;14.558;0.425;3.23;12:56:56.000
234.73;67.56E-03;6.723;50.043;300;200E-03;15.857;14.361;0.424;3.19;12:56:57.000
234.77;69.18E-03;6.865;50.048;300;200E-03;16.241;14.719;0.423;3.23;12:56:58.000
234.67;68.52E-03;6.808;50.048;300;200E-03;16.080;14.567;0.423;3.20;12:56:59.000
234.96;68.62E-03;6.843;50.047;300;200E-03;16.123;14.599;0.424;3.22;12:57:00.000
234.99;68.96E-03;6.894;50.043;300;200E-03;16.205;14.665;0.425;3.21;12:57:01.000
235.00;67.70E-03;6.803;50.046;300;200E-03;15.911;14.383;0.428;3.17;12:57:02.000
234.94;67.70E-03;6.749;50.045;300;200E-03;15.905;14.402;0.424;3.15;12:57:03.000
235.00;67.69E-03;6.753;50.046;300;200E-03;15.908;14.403;0.425;3.12;12:57:04.000
234.93;68.35E-03;6.837;50.038;300;200E-03;16.056;14.528;0.426;3.15;12:57:05.000
234.91;68.83E-03;6.769;50.041;300;200E-03;16.170;14.685;0.419;3.15;12:57:06.000
234.88;65.92E-03;6.461;50.037;300;200E-03;15.483;14.071;0.417;3.18;12:57:07.000
235.03;69.24E-03;6.870;50.040;300;200E-03;16.273;14.752;0.422;3.15;12:57:08.000
234.95;69.56E-03;6.814;50.035;300;200E-03;16.343;14.855;0.417;3.17;12:57:09.000
234.76;69.34E-03;6.949;50.031;300;200E-03;16.278;14.720;0.427;3.17;12:57:10.000
234.96;68.15E-03;6.790;50.036;300;200E-03;16.013;14.502;0.424;3.21;12:57:11.000
234.91;69.13E-03;6.903;50.035;300;200E-03;16.239;14.699;0.425;3.14;12:57:12.000
234.88;69.33E-03;6.904;50.034;300;200E-03;16.285;14.749;0.424;3.24;12:57:13.000
234.87;68.34E-03;6.693;50.031;300;200E-03;16.052;14.590;0.417;3.20;12:57:14.000
234.55;67.94E-03;6.762;50.026;300;200E-03;15.936;14.430;0.424;3.20;12:57:15.000
234.72;67.94E-03;6.633;50.033;300;200E-03;15.947;14.502;0.416;3.22;12:57:16.000
234.73;69.04E-03;6.822;50.034;300;200E-03;16.205;14.699;0.421;3.22;12:57:17.000
234.65;66.72E-03;6.623;50.030;300;200E-03;15.655;14.185;0.423;3.19;12:57:18.000
234.55;66.88E-03;6.744;50.025;300;200E-03;15.687;14.164;0.430;3.23;12:57:19.000
234.84;67.52E-03;6.807;50.036;300;200E-03;15.856;14.320;0.429;3.16;12:57:20.000
