#Device;HMC8015
#Device Name;COFFEE
#Format;LOG
#Date;2029-09-15
#Version;01.400-02.430-03.730
#Serial No.;033820106
#Mode;Unlimited
#Logging Interval[s];1.000
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;12:52:51
#Stop Time;13:54:06
#Actual Count;3676        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
234.61;36.59E-03;3.154;50.011;300;100E-03;8.585;7.985;0.367;3.13;12:52:51.000
234.62;37.53E-03;3.251;50.012;300;100E-03;8.806;8.184;0.369;3.17;12:52:52.000
234.65;37.22E-03;3.263;50.011;300;100E-03;8.733;8.101;0.374;3.16;12:52:53.000
234.69;97.35E-03;10.38;50.015;300;500E-03;22.85;20.35;0.454;3.17;12:52:54.000
234.64;99.46E-03;10.603;50.012;300;200E-03;23.337;20.789;0.454;3.13;12:52:55.000
234.61;98.59E-03;10.571;50.018;300;200E-03;23.131;20.575;0.457;3.12;12:52:56.000
234.61;102.72E-03;10.995;50.015;300;200E-03;24.098;21.444;0.456;3.08;12:52:57.000
234.65;101.34E-03;10.907;50.012;300;200E-03;23.780;21.131;0.459;3.09;12:52:58.000
234.58;91.62E-03;9.630;50.020;300;200E-03;21.493;19.215;0.448;3.09;12:52:59.000
234.67;91.88E-03;9.650;50.024;300;200E-03;21.561;19.280;0.448;3.12;12:53:00.000
234.60;94.13E-03;10.011;50.015;300;200E-03;22.083;19.683;0.453;3.13;12:53:01.000
234.61;93.28E-03;10.049;50.015;300;200E-03;21.884;19.441;0.459;3.16;12:53:02.000
234.59;94.20E-03;10.089;50.013;300;200E-03;22.098;19.661;0.457;3.14;12:53:03.000
234.55;93.97E-03;10.131;50.013;300;200E-03;22.042;19.576;0.460;3.15;12:53:04.000
234.54;92.26E-03;9.833;50.008;300;200E-03;21.638;19.275;0.454;3.15;12:53:05.000
234.50;92.14E-03;9.757;50.016;300;200E-03;21.608;19.279;0.452;3.17;12:53:06.000
234.62;92.74E-03;9.898;50.010;300;200E-03;21.759;19.378;0.455;3.16;12:53:07.000
234.55;92.19E-03;9.848;50.016;300;200E-03;21.623;19.250;0.455;3.18;12:53:08.000
234.59;66.95E-03;6.688;50.014;300;200E-03;15.706;14.211;0.426;3.15;12:53:09.000
234.44;85.57E-03;8.847;50.016;300;200E-03;20.061;18.005;0.441;3.10;12:53:10.000
234.44;95.35E-03;10.019;50.020;300;200E-03;22.354;19.983;0.448;3.11;12:53:11.000
234.39;86.82E-03;8.921;50.015;300;200E-03;20.349;18.290;0.438;3.10;12:53:12.000
234.44;93.80E-03;9.934;50.015;300;200E-03;21.990;19.619;0.452;3.11;12:53:13.000
234.45;69.97E-03;6.902;50.012;300;200E-03;16.404;14.881;0.421;3.07;12:53:14.000
234.47;82.48E-03;8.437;50.016;300;200E-03;19.338;17.401;0.436;3.07;12:53:15.000
234.53;70.81E-03;7.034;50.016;300;200E-03;16.606;15.043;0.424;3.06;12:53:16.000
234.41;76.90E-03;7.782;50.017;300;200E-03;18.025;16.259;0.432;3.08;12:53:17.000
234.48;90.56E-03;9.788;50.022;300;200E-03;21.236;18.845;0.461;3.07;12:53:18.000
234.50;71.26E-03;7.205;50.020;300;200E-03;16.709;15.076;0.431;3.09;12:53:19.000
234.55;83.96E-03;8.811;50.019;300;200E-03;19.692;17.611;0.447;3.07;12:53:20.000
234.51;90.88E-03;9.945;50.024;300;200E-03;21.311;18.848;0.467;3.09;12:53:21.000
234.49;83.12E-03;8.813;50.024;300;200E-03;19.491;17.384;0.452;3.14;12:53:22.000
234.49;66.51E-03;6.677;50.029;300;200E-03;15.597;14.096;0.428;3.12;12:53:23.000
234.66;85.48E-03;9.090;50.031;300;200E-03;20.059;17.881;0.453;3.11;12:53:24.000
234.71;90.03E-03;9.829;50.029;300;200E-03;21.130;18.705;0.465;3.13;12:53:25.000
234.65;67.54E-03;6.848;50.030;300;200E-03;15.848;14.291;0.432;3.13;12:53:26.000
234.69;66.74E-03;6.732;50.029;300;200E-03;15.664;14.144;0.430;3.12;12:53:27.000
234.67;86.49E-03;9.054;50.028;300;200E-03;20.297;18.166;0.446;3.05;12:53:28.000
234.65;77.01E-03;7.867;50.030;300;200E-03;18.071;16.269;0.435;3.04;12:53:29.000
234.62;75.58E-03;7.627;50.029;300;200E-03;17.732;16.008;0.430;3.05;12:53:30.000
234.56;83.23E-03;8.658;50.038;300;200E-03;19.523;17.498;0.443;3.04;12:53:31.000
